カテゴリ,タスク名,担当,期限,超具体的なアクション内容
共同代表・統括PM,週次進捗同期MTGの招集と議事録管理,田窪佑一朗・川﨑麻衣,毎週月曜（定例）,毎週の進捗同期ミーティングを招集し、決定事項や保留項目を議事録としてNotionの「議事録データベース」に格納・整理する
共同代表・統括PM,スポンサー営業進捗スプレッドシートの管理,田窪佑お朗・川﨑麻衣,随時更新,企業へのアプローチ状況、協賛ステータス（未連絡・交渉中・確定）、入金予定日を一覧化した営業状況管理シートを常に最新の状態に保つ
共同代表・統括PM,外部公式文書の最終検証と提出,田窪佑一朗・川﨑麻衣,打診前,会場（QUINTBRIDGE）、自治体、協賛企業宛ての公式依頼文やメール文面を送信前に確認し、団体の公式スタンスとして不適切な箇所がないか最終検閲を行う
共同代表・統括PM,予算執行の決裁および財務管理,田窪佑一朗・川﨑麻衣,随時,ハッカソン運営に関わるすべての実費支出（お弁当・景品・備品等）の事前申請を確認し、協賛金の受取状況と照らし合わせて決裁を行う
企画・MC,ハックテーマ（地域課題）の文言・お題の設計,宮竹楽人・徳倉結・大黒優花・みしな,Phase 1準備期間,参加学生が解くべき社会的・地域的課題の具体的テーマを設計し、提示用スライドおよびルールブックに記述する
企画・MC,当日進行タイムテーブルおよびトークスクリプトの作成,宮竹楽人・徳倉結・大黒優花・みしな,Phase 1準備期間,開会から閉会までのタイムスケジュールを分単位で引き、司会進行（MC）用のトークスクリプト（挨拶・ルール説明・タイムコール等）を執筆する
企画・MC,体験テストセッション用のフィードバックカードの設計,宮竹楽人・徳倉結・大黒優花・みしな,Phase 1準備期間,中間発表時にチーム間でお互いのアプリを触り合い、UI/UXの改善案やバグ報告を書き残して交換するためのA6サイズの専用カードフォーマットを設計・印刷手配する
企画・MC,司会進行（MC）のトークリハーサルの実施,大黒優花・宮竹楽人,イベント前日,会場の音響環境を想定し、マイクの通し方、時間配分のシミュレーション、アイスブレイクのデモを含めた司会進行の全体リハーサルを行う
技術リード,開発用スターターマニュアルの執筆,古川晃啓・かー,Phase 1準備期間,Dify、v0.dev、Bolt.new、Cursorなどのノーコード・AIツールのログイン手順や初期設定、ハッカソン推奨の構成案をまとめたMarkdownマニュアルを作成する
技術リード,技術サポートヘルプデスクの待機シフト策定,古川晃啓・かー,イベント3日前,ハック期間中（深夜帯含む）に参加者からの技術質問（API接続エラーやバグ等）に常時対応できるよう、技術チームのサポート待機時間シフトを調整・決定する
技術リード,技術メンター向け事前配布資料の作成,古川晃啓・かー,イベント1週間前,企業のシニアエンジニア（技術メンター）に対し、当日配布するAPI制限値、想定される学生の質問範囲、使用ツール一覧をまとめたガイドラインを共有する
デザイン・ブランディング,Canva用SNS広報バナーテンプレートの制作,大黒優花 ほか2名,6月中旬,Instagram・Xでイベント告知、勉強会告知、協賛社紹介を行うための、統一感のあるブランディングガイドラインに沿ったCanvaテンプレートを作成する
デザイン・ブランディング,当日用名札パスおよびステッカーのデザイン,大黒優花 ほか2名,Phase 1準備期間,参加者・運営・メンター・審査員の識別用ネックストラップ名札のデザイン、およびノートPC貼り付け用のイベント公式ステッカーのデザイン作成と入稿手配
デザイン・ブランディング,会場投影用スライドテンプレートの制作,大黒優花 ほか2名,Phase 1準備期間,開会式・閉会式・結果発表時にプロジェクター投影するKeynote/PowerPointスライドの統一デザインマニュアルとテンプレートを整備する
コミュニティ・広報,Connpass集客用イベントページの立ち上げ・運用,髙井倫太郎 ほか2名,6月中旬,集客ファネルとなる「Cursorハンズオン勉強会」のConnpass募集ページを作成・公開し、SNSやLINEグループを通じて参加申し込みを募る
コミュニティ・広報,関西圏主要大学サークルへのダイレクト営業,髙井倫太郎 ほか2名,6月下旬,関西の主要大学（関大、阪大、京大、立命等）のAI・ロボット研究室や起業・ITサークル宛てに、ハッカソンへの招待および相互送客の協力を持ちかけるDMを送信する（目標10団体）
コミュニティ・広報,DiscordサーバーのWelcomeチャンネル・ルール整備,髙井倫太郎 ほか2名,2週間以内,新規入室時に自動で歓迎メッセージを表示する文面を作成し、コミュニティ内での自己紹介テンプレートの設定、禁止事項（荒らし・ハラスメント防止）のルールを決定・掲載する
会場ロジスティクス,QUINTBRIDGEのレイアウトおよび電源ドラム配置設計,会場ロジスティクスユニット,Phase 1準備期間,各テーブルへの電源容量配分、延長コードの引き回し図、プロジェクターの死角を避けた座席配置、受付動線を含めたフロアマップのレイアウト設計図を作成する
