タスク名,優先度,期限,担当,超具体的なアクション内容
QUINTBRIDGE 会場無償利用の打診・日程仮押さえ,🔴 最優先,今週中,田窪佑一朗（総合統括） ＋ 川﨑麻衣（統括PM）,社会的意義を訴求した会場無償利用申請書をNTT西日本担当窓口へ送付し、7月・9月・11月の土日の仮日程を押さえる
協賛・パートナー企業開拓の開始と提案書の最終化,🔴 最優先,今週中,田窪佑一朗 ＋ 川﨑麻衣,スポンサー特典（Gold/Silver/Bronze）をまとめ、企業アプローチリスト（20社以上）を作成・連絡開始。Red Bullへのドリンク協賛交渉も行う
Phase 1（7月開催予定）の開催日確定,🔴 最優先,今週中,運営コアメンバー全員（定例MTGで決定）,各大学の試験期間・補講期間を調査し、高井氏の台湾渡航（8/1-20）と被らない7月中旬の週末に確定させる
イベントコンセプト・告知LP構成案の確定,🟡 中,来週中,髙井倫太郎（広報リーダー） ＋ デザイン・ブランディングユニット,3大極大USPを活かしたキャッチコピーを決め、Figma/CanvaでLPの募集ページのワイヤーフレームを作る（大人臭さを排除）
第1次予算計画書の最終決定,🟡 中,来週中,田窪佑一朗 ＋ 川﨑麻衣,Phase 1 (¥130k)・Phase 2 (¥440k)・Phase 3 (¥990k)の内訳（お弁当・景品等）を固定し、余剰金の分配ルールを決定
Discordコミュニティの開設・ロール権限の整備,🟢 低,2週間以内,髙井倫太郎 ＋ 技術リード（古川氏・かー氏）,参加者・運営・メンター等のロールを分離し、一般スタッフのロール・チャンネル削除権限を剥奪する厳密な設定を行う
自動翻訳ボットの実装・テスト,🟢 低,2週間以内,技術リードユニット（古川氏・かー氏）,Discordの「コミュニティ・アップデート」から送信される英語 of システム通知を検知し、日本語に翻訳して投稿するスクリプトを構築
当日ボランティア学生スタッフの募集要項ドラフト作成,🟢 低,2週間以内,コミュニティ・広報 ＋ 会場ロジスティクス,受付・誘導・撮影などの当日実務ボランティア（10-15名）の公募要項とLINE連絡網を作成する
Gemini APIを活用した技術サポートRAGチャットの実装,🟢 低,2週間以内,技術リードユニット（古川氏・かー氏）,開発マニュアルやルール等のドキュメントをDB化し、メンション時のGemini API自動応答および/add_knowledgeコマンドを構築する
進捗シグナルと自動ボイスチャンネル（Auto-VC）の実装,🟢 低,2週間以内,技術リードユニット（古川氏・かー氏）,/task createでの進捗管理用チャンネルの自動生成とステータス表示、入退室時に自動で生成・削除されるAuto-VCを実装する
イベントカウントダウンコマンドの実装,🟢 低,2週間以内,技術リードユニット（古川氏・かー氏）,提出期限カウントダウンコマンド/countdownを構築し、運営統括が後から時間変更・上書きできるようにする
イベントのタイムテーブルおよびMC進行台本の作成,🟡 中,Phase 1準備期間中,企画・MCユニット（宮竹氏・徳倉氏・大黒氏・みしな氏）,当日のタイムテーブル（分単位）の作成と、体験テストセッション用のフィードバックカードの設計・MC台本作成を行う
デザイン制作物（名札・ステッカー等）のデザイン作成,🟡 中,Phase 1準備期間中,デザイン・ブランディングユニット（大黒氏ら）,当日配布する名札（パス）、オリジナルステッカー、およびスライドテンプレート等のデザインを行う
開発用スターターマニュアルの作成,🟡 中,Phase 1準備期間中,技術リードユニット（古川氏・かー氏）,ノーコードツール（Dify/Bolt.new等）のログインマニュアルや、APIキーの利用に関する解説マニュアルを用意する
QUINTBRIDGE会場の電源・机レイアウト図の作成,🟡 中,Phase 1準備期間中,会場ロジスティクスユニット,電源ドラムの配線図、プロジェクター位置、受付動線を含めた机と椅子のレイアウト配置案を作成する
お弁当およびRed Bull等のケータリングの調達・手配,🟡 中,Phase 1準備期間中,会場ロジスティクスユニット,参加者・スタッフ分の飲料および軽食・弁当を発注し、当日の配送スケジュールの管理・調整を行う
